#;Mbps;origen
420;3;Ctra. Pozaldez, Km 1.
421;10;Ctra. Villares a Estación S/N. Caudete
422;10;Ctra. Zaragoza a Longrono N-232, km 28, Poligono Industrial No 6, 50639 Figueruelas (Zaragoza)  
423;50;CTRA.C-55 KM.20 015, SANT VICENT DE CASTELLET BARCELONA, 08254
424;30;Cuesta De Carlos V V, 9 1. Toledo
425;10;CV 407,CARRETERA DE ESCATRON AL APEADERO, 44592 CASTELNOU
426;300;Daroca
427;20;De les Remences 44 - Pol.Industrial Vallverix Mataro
428;100;Delphi Packard Espana S.L.U. Belchite Plant Ctra. Carinena S/N
429;100;DISEMINADO LOS ATOCHARES S/N Paraje San. LA MOJONERA
430;10;Disseminat Pont Major 14 17007 Gerona
431;10;Edif. Terminal - Oficina 601 Palma de Mallorca
432;10;Edificio CataluÃa , Calle Luis Morote 6-3, 35007 - Las Palmas de Gran Canaria, Spain   Las Palmas
433;10;Edificio Cataluña, Calle Luis Morote 6-3
434;10;Edificio Dunas Triana- C/Francisco Gourie 107- Planta Tercera   LAS PALMAS
435;20;Edificio Jardines De Galicia Las Palmas
436;1000;El álamo
437;10;El Pol 1
438;10;"Elexaldea 1 - 48289 GIZABURUAGA (Bizkaia)
43.330746, -2.537833"
439;20;Ernio Bidea s/n,  Zizurkil, Guipuxcoa
440;10;Ernio Bidea, Zizurkil, Gipuzkoa 20159, Spain 
441;10;Erratzu Ind. Pol. 253, Urnieta, 20130
442;50;Esparraguera 1, Marchuquera, 46728 Gandia
443;500;Estadio Gimnàstic
444;500;Estadio Girona
445;500;Estadio Huesca
446;500;Estadio Mallorca
447;2;F (oeste) Parcela nAo 17
448;10;Fabrica de Vigo, Baixada a Gándara 32, Coruxo 36330
449;10 Mbps;Fernando Mugica Kalea 11
450;100;Figueres
451;10;FRAGA, Av. Mequinenza, 12, Huesca, GPS: 41.512216, 0.326495, 22520
452;20;Fujitsu CALLE ALMIRANTE DIAZ PIMIENTA 8 38005 SANTA CRUZ DE TENERIFE
453;10;Gandariña  19 - Nave 5 - La Bagunda. Vigo
454;50;Ginebrer 2 RIUDELLOTS DE LA CREU
455;2;Ginebrer 2. RIUDELLOTS DE LA CREU
